अ ə
रांकेत rãket̪ə
रांचो rãtʃo
रांदची rãd̪ətʃi
रांदचे rãd̪ətʃe
रांदचेकुडींत rãd̪ətʃekuɖĩt̪ə
रांदन rãd̪ənə
रांदनी rãd̪əni
रांदपाची rãd̪əpatʃi
रांदपाच्या rãd̪əpatʃja
रांदपी rãd̪əpi
रांदवाड rãd̪əʋaɖə
रांदिल्लें rãd̪illẽ
रांदूंक rãd̪ũkə
रांदून rãd̪unə
रांपणकारांचो rãpəɳəkarãtʃo
राकट rakəʈə
राकेश rakeʃə
राकेस rakesə
राकेसा rakesa
राकेसाचो rakesatʃo
राकेसी rakesi
राक्षस rakʂəsə
राक्षसी rakʂəsi
राखण rakʰəɳə
राखणदार rakʰəɳəd̪arə
राखणदारांक rakʰəɳəd̪arãkə
राखणदिवपा rakʰəɳəd̪iʋəpa
राखणाच rakʰəɳatʃə
राखणे rakʰəɳe
राखणेक rakʰəɳekə
राखणेची rakʰəɳetʃi
राखणेचें rakʰəɳetʃẽ
राखणेच्या rakʰəɳetʃja
राखतले rakʰət̪əle
राखतलो rakʰət̪əlo
राखता rakʰət̪a
राखतां rakʰət̪ã
राखप rakʰəpə
राखपा rakʰəpa
राखपांत rakʰəpãt̪ə
राखपाक rakʰəpakə
राखपाची rakʰəpatʃi
राखपाचो rakʰəpatʃo
राखपाच्या rakʰəpatʃja
राखली rakʰəli
राखलें rakʰəlẽ
राखलो rakʰəlo
राखल्या rakʰəlja
राखिवता rakʰiʋət̪a
राखीत rakʰit̪ə
राखीव rakʰiʋə
राखीवतायेची rakʰiʋət̪ajetʃi
राखूंक rakʰũkə
राखून rakʰunə
राख्ण rakʰɳə
राग ragə
रागच ragətʃə
रागणें ragəɳẽ
रागांची ragãtʃi
रागांचो ragãtʃo
रागाक ragakə
रागाच ragatʃə
रागाचे ragatʃe
रागाचो ragatʃo
रागाच्या ragatʃja
रागान raganə
रागार ragarə
रागारागान ragaraganə
रागीट ragiʈə
राज radʒə
राजकरणांत radʒəkərəɳãt̪ə
राजकरणाक radʒəkərəɳakə
राजकरणाचें radʒəkərəɳatʃẽ
राजकरणी radʒəkərəɳi
राजकर्त्यां radʒəkərt̪jã
राजकर्त्यांक radʒəkərt̪jãkə
राजकर्त्यांनी radʒəkərt̪jãni
राजकाण्यांक radʒəkaɳjãkə
राजकाण्यांच्या radʒəkaɳjãtʃja
राजकारण radʒəkarəɳə
राजकारणयांक radʒəkarəɳəjãkə
राजकारणा radʒəkarəɳa
राजकारणांच्या radʒəkarəɳãtʃja
राजकारणांत radʒəkarəɳãt̪ə
राजकारणांतली radʒəkarəɳãt̪əli
राजकारणांतलीं radʒəkarəɳãt̪əlĩ
राजकारणांतले radʒəkarəɳãt̪əle
राजकारणांतलें radʒəkarəɳãt̪əlẽ
राजकारणांतलो radʒəkarəɳãt̪əlo
राजकारणांतल्या radʒəkarəɳãt̪əlja
राजकारणांतल्यान radʒəkarəɳãt̪əljanə
राजकारणांतूच radʒəkarəɳãt̪utʃə
राजकारणाक radʒəkarəɳakə
राजकारणाची radʒəkarəɳatʃi
राजकारणाचीं radʒəkarəɳatʃĩ
राजकारणाचे radʒəkarəɳatʃe
राजकारणाचें radʒəkarəɳatʃẽ
राजकारणाचेच radʒəkarəɳatʃetʃə
राजकारणाचेर radʒəkarəɳatʃerə
राजकारणाचो radʒəkarəɳatʃo
राजकारणाच्या radʒəkarəɳatʃja
राजकारणाच्यो radʒəkarəɳatʃjo
राजकारणान radʒəkarəɳanə
राजकारणावेलो radʒəkarəɳaʋelo
राजकारणी radʒəkarəɳi
राजकारणीं radʒəkarəɳĩ
राजकारणीय radʒəkarəɳijə
राजकारणूच radʒəkarəɳutʃə
राजकारणूय radʒəkarəɳujə
राजकारण्या radʒəkarəɳja
राजकारण्यां radʒəkarəɳjã
राजकारण्यांक radʒəkarəɳjãkə
राजकारण्यांची radʒəkarəɳjãtʃi
राजकारण्यांचे radʒəkarəɳjãtʃe
राजकारण्यांचें radʒəkarəɳjãtʃẽ
राजकारण्यांचो radʒəkarəɳjãtʃo
राजकारण्यांच्या radʒəkarəɳjãtʃja
राजकारण्यांच्यो radʒəkarəɳjãtʃjo
राजकारण्यांनी radʒəkarəɳjãni
राजकारण्यांनीय radʒəkarəɳjãnijə
राजकारण्याक radʒəkarəɳjakə
राजकारण्याची radʒəkarəɳjatʃi
राजकारण्याचे radʒəkarəɳjatʃe
राजकारण्याचें radʒəkarəɳjatʃẽ
राजकारण्याचेर radʒəkarəɳjatʃerə
राजकारण्याचो radʒəkarəɳjatʃo
राजकारण्याच्या radʒəkarəɳjatʃja
राजकारभार radʒəkarəbʱarə
राजकी radʒəki
राजकीय radʒəkijə
राजकुंवर radʒəkũʋərə
राजकुंवरांक radʒəkũʋərãkə
राजकुंवरी radʒəkũʋəri
राजकुंवरींक radʒəkũʋərĩkə
राजकुंवरींचे radʒəkũʋərĩtʃe
राजकुंवरींच्या radʒəkũʋərĩtʃja
राजकुमार radʒəkumarə
राजगुरू radʒəguru
राजघराण्यांतलीच radʒəgʱəraɳjãt̪əlitʃə
राजची radʒətʃi
राजदंडाची radʒəd̪ə̃ɖatʃi
राजदीप radʒəd̪ipə
राजदूत radʒəd̪ut̪ə
राजधानयेंत radʒəd̪ʰanəjẽt̪ə
राजधानयेंतल्या radʒəd̪ʰanəjẽt̪əlja
राजधानी radʒəd̪ʰani
राजनाथ radʒənat̪ʰə
राजनाथसिंह radʒənat̪ʰəsĩɦə
राजनाथसिंहाचेर radʒənat̪ʰəsĩɦatʃerə
राजनाथसिंहाचो radʒənat̪ʰəsĩɦatʃo
राजनाथसिंहान radʒənat̪ʰəsĩɦanə
राजनाथा radʒənat̪ʰa
राजनाथाच्या radʒənat̪ʰatʃja
राजनाथान radʒənat̪ʰanə
राजनिती radʒənit̪i
राजनितींत radʒənit̪ĩt̪ə
राजनितीक radʒənit̪ikə
राजनितीचे radʒənit̪itʃe
राजनैतिक radʒənɨjt̪ikə
राजपटण radʒəpəʈəɳə
राजपाट radʒəpaʈə
राजपाटण radʒəpaʈəɳə
राजपाल radʒəpalə
राजपूत radʒəput̪ə
राजभवना radʒəbʱəʋəna
राजभवनाचेर radʒəbʱəʋənatʃerə
राजभाशेक radʒəbʱaʃekə
राजभाशेचे radʒəbʱaʃetʃe
राजभाशेच्या radʒəbʱaʃetʃja
राजभास radʒəbʱasə
राजमाता radʒəmat̪a
राजमातेचें radʒəmat̪etʃẽ
राजमान्यताय radʒəmanjət̪ajə
राजमार्ग radʒəmargə
राजमुखेली radʒəmukʰeli
राजमोहन radʒəmoɦənə
राजराणांतय radʒəraɳãt̪əjə
राजवट radʒəʋəʈə
राजवटके radʒəʋəʈəke
राजवटींत radʒəʋəʈĩt̪ə
राजवटींतल्यान radʒəʋəʈĩt̪əljanə
राजवटीची radʒəʋəʈitʃi
राजवटीचें radʒəʋəʈitʃẽ
राजवटीन radʒəʋəʈinə
राजशायेचीं radʒəʃajetʃĩ
राजशेखर radʒəʃekʰərə
राजशेखरा radʒəʃekʰəra
राजशेखराच्या radʒəʃekʰəratʃja
राजशेखऱ radʒəʃekʰər
राजश्रय radʒəʃrəjə
राजसंधर्शाचीं radʒəsə̃d̪ʰərʃatʃĩ
राजसतेची radʒəsət̪etʃi
राजसत्ता radʒəsət̪t̪a
राजसत्ते radʒəsət̪t̪e
राजसत्तेची radʒəsət̪t̪etʃi
राजसत्तेचें radʒəsət̪t̪etʃẽ
राजसेखऱ radʒəsekʰər
राजस्थान radʒəst̪ʰanə
राजस्थानची radʒəst̪ʰanətʃi
राजस्थाना radʒəst̪ʰana
राजस्थानांतल्या radʒəst̪ʰanãt̪əlja
राजस्थानांतल्यान radʒəst̪ʰanãt̪əljanə
राजस्थानाक radʒəst̪ʰanakə
राजस्थानाच्या radʒəst̪ʰanatʃja
राजस्थानाच्यो radʒəst̪ʰanatʃjo
राजस्थानात radʒəst̪ʰanat̪ə
राजस्थानातल्या radʒəst̪ʰanat̪əlja
राजस्थानान radʒəst̪ʰananə
राजस्थानी radʒəst̪ʰani
राजा radʒa
राजां radʒã
राजांचो radʒãtʃo
राजांनी radʒãni
राजाक radʒakə
राजाकारणाचे radʒakarəɳatʃe
राजाकूय radʒakujə
राजाची radʒatʃi
राजाचें radʒatʃẽ
राजाचेर radʒatʃerə
राजाचो radʒatʃo
राजाच्या radʒatʃja
राजान radʒanə
राजानाथ radʒanat̪ʰə
राजानूय radʒanujə
राजाप्रजेचें radʒaprədʒetʃẽ
राजाराम radʒaramə
राजारामा radʒarama
राजाश्रय radʒaʃrəjə
राजाश्रया radʒaʃrəja
राजिनमो radʒinəmo
राजिनामे radʒiname
राजिनामो radʒinamo
राजिनाम्याची radʒinamjatʃi
राजिनाम्याचें radʒinamjatʃẽ
राजिनाम्याचो radʒinamjatʃo
राजींदर radʒĩd̪ərə
राजीव radʒiʋə
राजीवजींक radʒiʋədʒĩkə
राजू radʒu
राजे radʒe
राजेंक radʒẽkə
राजेंचो radʒẽtʃo
राजेंद्र radʒẽd̪rə
राजेंद्रक radʒẽd̪rəkə
राजेंद्रान radʒẽd̪ranə
राजेक radʒekə
राजेचे radʒetʃe
राजेचो radʒetʃo
राजेच्या radʒetʃja
राजेन radʒenə
राजेशाय radʒeʃajə
राजेशायेत radʒeʃajet̪ə
राज्य radʒjə
राज्यकर्ते radʒjəkərt̪e
राज्यकर्तेय radʒjəkərt̪ejə
राज्यकर्त्यांक radʒjəkərt̪jãkə
राज्यकर्त्यांची radʒjəkərt̪jãtʃi
राज्यकर्त्यांचे radʒjəkərt̪jãtʃe
राज्यकर्त्यांचें radʒjəkərt̪jãtʃẽ
राज्यकर्त्यांच्या radʒjəkərt̪jãtʃja
राज्यकर्त्यांनी radʒjəkərt̪jãni
राज्यकर्त्याक radʒjəkərt̪jakə
राज्यकारभार radʒjəkarəbʱarə
राज्यकारभारा radʒjəkarəbʱara
राज्यघटना radʒjəgʱəʈəna
राज्यपाल radʒjəpalə
राज्यपालांनी radʒjəpalãni
राज्यपालाक radʒjəpalakə
राज्यपालाचें radʒjəpalatʃẽ
राज्यपालाच्या radʒjəpalatʃja
राज्यभरांत radʒjəbʱərãt̪ə
राज्यम radʒjəmə
राज्यमंत्री radʒjəmə̃t̪ri
राज्यमार्ग radʒjəmargə
राज्यशास्त्र radʒjəʃast̪rə
राज्यसभा radʒjəsəbʱa
राज्यसभाशेचो radʒjəsəbʱaʃetʃo
राज्यसभेंत radʒjəsəbʱẽt̪ə
राज्यसभेंतले radʒjəsəbʱẽt̪əle
राज्यसभेंतल्यान radʒjəsəbʱẽt̪əljanə
राज्यसभेंतूय radʒjəsəbʱẽt̪ujə
राज्यसभेचे radʒjəsəbʱetʃe
राज्यसभेचो radʒjəsəbʱetʃo
राज्यसभेतलो radʒjəsəbʱet̪əlo
राज्यसभेन radʒjəsəbʱenə
राज्यसुत्रां radʒjəsut̪rã
राज्या radʒja
राज्यां radʒjã
राज्यांक radʒjãkə
राज्यांकूच radʒjãkutʃə
राज्यांची radʒjãtʃi
राज्यांचे radʒjãtʃe
राज्यांचें radʒjãtʃẽ
राज्यांचेर radʒjãtʃerə
राज्यांचो radʒjãtʃo
राज्यांच्या radʒjãtʃja
राज्यांच्यो radʒjãtʃjo
राज्यांत radʒjãt̪ə
राज्यांतली radʒjãt̪əli
राज्यांतलीं radʒjãt̪əlĩ
राज्यांतले radʒjãt̪əle
राज्यांतलें radʒjãt̪əlẽ
राज्यांतलो radʒjãt̪əlo
राज्यांतल्या radʒjãt̪əlja
राज्यांतल्यान radʒjãt̪əljanə
राज्यांतल्यो radʒjãt̪əljo
राज्यांनी radʒjãni
राज्यांनीच radʒjãnitʃə
राज्याक radʒjakə
राज्याकर्त्यांनी radʒjakərt̪jãni
राज्याची radʒjatʃi
राज्याचीं radʒjatʃĩ
राज्याचे radʒjatʃe
राज्याचें radʒjatʃẽ
राज्याचेर radʒjatʃerə
राज्याचो radʒjatʃo
राज्याचोच radʒjatʃotʃə
राज्याचोय radʒjatʃojə
राज्याच्या radʒjatʃja
राज्यान radʒjanə
राट्राध्यक्ष raʈrad̪ʰjəkʂə
राडॅक raɖɛkə
राणयेचे raɳəjetʃe
राणा raɳa
राणी raɳi
राणीन raɳinə
राणे raɳe
राणें raɳẽ
राणेक raɳekə
राणेकूय raɳekujə
राणेची raɳetʃi
राणेचेर raɳetʃerə
राणेचो raɳetʃo
राणेजींचें raɳedʒĩtʃẽ
राणेन raɳenə
राण्यांचीं raɳjãtʃĩ
राण्यांनी raɳjãni
रात rat̪ə
रातची rat̪ətʃi
रातचीं rat̪ətʃĩ
रातचे rat̪ətʃe
रातचें rat̪ətʃẽ
रातचो rat̪ətʃo
रातच्या rat̪ətʃja
रातदीस rat̪əd̪isə
रातभर rat̪əbʱərə
रातयां rat̪əjã
रातयांत rat̪əjãt̪ə
रातराणयेचो rat̪əraɳəjetʃo
राती rat̪i
रातीं rat̪ĩ
रातींत rat̪ĩt̪ə
रातीक rat̪ikə
रातीची rat̪itʃi
रातीचे rat̪itʃe
रातीचें rat̪itʃẽ
रातीच्यो rat̪itʃjo
रातीत rat̪it̪ə
रातीर rat̪irə
रात्रा rat̪ra
राथ rat̪ʰə
राधा rad̪ʰa
राधाकृष्णन rad̪ʰakxʂɳənə
राधाकृष्णनान rad̪ʰakxʂɳənanə
रान ranə
रानच्या ranətʃja
रानटी ranəʈi
रानदुकर ranəd̪ukərə
रानदेवता ranəd̪eʋət̪a
रानवटी ranəʋəʈi
रानवटीच ranəʋəʈitʃə
रानवटीपणां ranəʋəʈipəɳã
रानवट्यांनी ranəʋəʈjãni
राना rana
रानां ranã
रानांची ranãtʃi
रानांचें ranãtʃẽ
रानांचेर ranãtʃerə
रानांच्या ranãtʃja
रानांत ranãt̪ə
रानांतलो ranãt̪əlo
रानांतल्या ranãt̪əlja
रानांतल्यान ranãt̪əljanə
रानांनी ranãni
रानाची ranatʃi
रानाचेर ranatʃerə
रानावनांनी ranaʋənãni
रानूच ranutʃə
रान्नीपोल्लान rannipollanə
राफायल rafajələ
राबता rabət̪a
राबतां rabət̪ã
राबयतल्यांचेर rabəjət̪əljãtʃerə
राबयतात rabəjət̪at̪ə
राबयिल्लीं rabəjillĩ
राबितो rabit̪o
राबित्यांत rabit̪jãt̪ə
राबित्याचे rabit̪jatʃe
राबित्याचें rabit̪jatʃẽ
राबून rabunə
राबोवन raboʋənə
राबोवप raboʋəpə
राबोवपाक raboʋəpakə
राबोवपाचे raboʋəpatʃe
राम ramə
रामकिशन raməkiʃənə
रामचंद्र ramətʃə̃d̪rə
रामदेव raməd̪eʋə
रामदेवबाबाक raməd̪eʋəbabakə
रामदेवा raməd̪eʋa
रामधारौ raməd̪ʰarəu
रामनाथ ramənat̪ʰə
रामनाथजी ramənat̪ʰədʒi
रामनाथी ramənat̪ʰi
रामनाथीं ramənat̪ʰĩ
रामनाथींच्या ramənat̪ʰĩtʃja
रामनाथीच्यान ramənat̪ʰitʃjanə
रामनाम ramənamə
रामनामाचो ramənamatʃo
रामनामाच्या ramənamatʃja
रामपूर raməpurə
रामबाण raməbaɳə
रामभक्तांचो raməbʱəkt̪ãtʃo
रामभाऊ raməbʱau:
रामराज्यूच raməradʒjutʃə
रामराव raməraʋə
रामविलास raməʋilasə
रामस्वामी raməsʋami
रामा rama
रामाणी ramaɳi
रामाणीची ramaɳitʃi
रामान ramanə
रामायण ramajəɳə
रामायणमहाभारता ramajəɳəməɦabʱarət̪a
रामायणांत ramajəɳãt̪ə
रामायणांतल्या ramajəɳãt̪əlja
रामायणांतल्यो ramajəɳãt̪əljo
रामायणाक ramajəɳakə
रामायणाची ramajəɳatʃi
रामारावांच्या ramaraʋãtʃja
रामारावाच्या ramaraʋatʃja
रामूक ramukə
रामेश्वर rameʃʋərə
राय rajə
रायकाराकय rajəkarakəjə
रायचो rajətʃo
रायच्या rajətʃja
रायट rajəʈə
रायटिंग rajəʈĩgə
रायडर rajəɖərə
रायडराक rajəɖərakə
रायडरान rajəɖəranə
रायडर्स rajəɖərsə
रायडर्सा rajəɖərsa
रायडर्साचें rajəɖərsatʃẽ
रायडर्साचो rajəɖərsatʃo
रायडर्साच्या rajəɖərsatʃja
रायडर्सान rajəɖərsanə
रायतें rajət̪ẽ
रायन rajənə
रायना rajəna
रायबंदर rajəbə̃d̪ərə
रायबंदरचे rajəbə̃d̪ərətʃe
रायलसिमा rajələsima
रायलसिमेचो rajələsimetʃo
रायस rajəsə
रायाक rajakə
रायुडू rajuɖu
रायुडूक rajuɖukə
रायुडून rajuɖunə
राल्फ ralfə
राव raʋə
रावं raʋə̃
रावंक raʋə̃kə
रावच raʋətʃə
रावची raʋətʃi
रावचीं raʋətʃĩ
रावचे raʋətʃe
रावचें raʋətʃẽ
रावचेंच raʋətʃẽtʃə
रावचेंना raʋətʃẽna
रावचो raʋətʃo
रावचों raʋətʃõ
रावच्यो raʋətʃjo
रावण raʋəɳə
रावणा raʋəɳa
रावणाक raʋəɳakə
रावणाचा raʋəɳatʃa
रावणाची raʋəɳatʃi
रावणाचे raʋəɳatʃe
रावणाचेर raʋəɳatʃerə
रावणान raʋəɳanə
रावत raʋət̪ə
रावतनाय raʋət̪ənajə
रावतली raʋət̪əli
रावतलीं raʋət̪əlĩ
रावतले raʋət̪əle
रावतलें raʋət̪əlẽ
रावतलो raʋət̪əlo
रावतलों raʋət̪əlõ
रावतल्या raʋət̪əlja
रावतल्यां raʋət̪əljã
रावतल्यांची raʋət̪əljãtʃi
रावतल्यांचे raʋət̪əljãtʃe
रावतल्यांचें raʋət̪əljãtʃẽ
रावतल्याक raʋət̪əljakə
रावतल्यो raʋət̪əljo
रावता raʋət̪a
रावतां raʋət̪ã
रावतात raʋət̪at̪ə
रावताली raʋət̪ali
रावतालीं raʋət̪alĩ
रावताले raʋət̪ale
रावतालें raʋət̪alẽ
रावतालो raʋət̪alo
रावन raʋənə
रावनच raʋənətʃə
रावना raʋəna
रावनात raʋənat̪ə
रावनासतना raʋənasət̪əna
रावनूच raʋənutʃə
रावनूय raʋənujə
रावप raʋəpə
रावपा raʋəpa
रावपांत raʋəpãt̪ə
रावपाक raʋəpakə
रावपाकूच raʋəpakutʃə
रावपाची raʋəpatʃi
रावपाचीं raʋəpatʃĩ
रावपाचीय raʋəpatʃijə
रावपाचे raʋəpatʃe
रावपाचें raʋəpatʃẽ
रावपाचो raʋəpatʃo
रावपाचोय raʋəpatʃojə
रावपी raʋəpi
रावपूय raʋəpujə
रावप्यांक raʋəpjãkə
रावया raʋəja
रावला raʋəla
रावलां raʋəlã
रावली raʋəli
रावलीं raʋəlĩ
रावले raʋəle
रावलें raʋəlẽ
रावलो raʋəlo
रावलों raʋəlõ
रावल्या raʋəlja
रावल्यांत raʋəljãt̪ə
रावल्यात raʋəljat̪ə
रावल्यार raʋəljarə
रावल्यो raʋəljo
रावळपिंडी raʋəɭəpĩɖi
रावळपिंडींतल्या raʋəɭəpĩɖĩt̪əlja
रावळपिंडेंत raʋəɭəpĩɖẽt̪ə
रावाची raʋatʃi
रावात raʋat̪ə
राविल्ली raʋilli
राविल्लीं raʋillĩ
राविल्ले raʋille
राविल्लें raʋillẽ
राविल्लो raʋillo
राविल्ल्या raʋillja
राविल्ल्यां raʋilljã
राविल्ल्यांक raʋilljãkə
राविल्ल्यांचो raʋilljãtʃo
राविल्ल्यान raʋilljanə
रावूं raʋũ
रावूंक raʋũkə
रावून raʋunə
राशी raʃi
राशीं raʃĩ
राशींतलें raʃĩt̪əlẽ
राशीक raʃikə
राशीच्यो raʃitʃjo
राशीर raʃirə
राषट्रपती raʂəʈrəpət̪i
राषट्रवादीमगो raʂəʈrəʋad̪iməgo
राष्टीय raʂʈijə
राष्ट्र raʂʈrə
राष्ट्रक raʂʈrəkə
राष्ट्रकूल raʂʈrəkulə
राष्ट्रदोहाचो raʂʈrəd̪oɦatʃo
राष्ट्रपती raʂʈrəpət̪i
राष्ट्रपतींच्या raʂʈrəpət̪ĩtʃja
राष्ट्रपतीक raʂʈrəpət̪ikə
राष्ट्रपतीची raʂʈrəpət̪itʃi
राष्ट्रपतीचे raʂʈrəpət̪itʃe
राष्ट्रपतीचो raʂʈrəpət̪itʃo
राष्ट्रपतीच्या raʂʈrəpət̪itʃja
राष्ट्रपतीन raʂʈrəpət̪inə
राष्ट्रपतीनूय raʂʈrəpət̪inujə
राष्ट्रपतीपद raʂʈrəpət̪ipəd̪ə
राष्ट्रपतीपदा raʂʈrəpət̪ipəd̪a
राष्ट्रपतीपदाच्या raʂʈrəpət̪ipəd̪atʃja
राष्ट्रपिता raʂʈrəpit̪a
राष्ट्रपित्यांनी raʂʈrəpit̪jãni
राष्ट्रपित्याचें raʂʈrəpit̪jatʃẽ
राष्ट्रपित्याच्या raʂʈrəpit̪jatʃja
राष्ट्रभास raʂʈrəbʱasə
राष्ट्रमोगी raʂʈrəmogi
राष्ट्रवादा raʂʈrəʋad̪a
राष्ट्रवादाचें raʂʈrəʋad̪atʃẽ
राष्ट्रवादी raʂʈrəʋad̪i
राष्ट्रवादीक raʂʈrəʋad̪ikə
राष्ट्रवादीची raʂʈrəʋad̪itʃi
राष्ट्रवादीचे raʂʈrəʋad̪itʃe
राष्ट्रवादीचें raʂʈrəʋad̪itʃẽ
राष्ट्रवादीचोय raʂʈrəʋad̪itʃojə
राष्ट्रवादीच्या raʂʈrəʋad̪itʃja
राष्ट्रवादीन raʂʈrəʋad̪inə
राष्ट्रसंघा raʂʈrəsə̃gʱa
राष्ट्रसंघाच्या raʂʈrəsə̃gʱatʃja
राष्ट्रसेवा raʂʈrəseʋa
राष्ट्रहिताईड raʂʈrəɦit̪ai:ɖə
राष्ट्रां raʂʈrã
राष्ट्रांक raʂʈrãkə
राष्ट्रांचे raʂʈrãtʃe
राष्ट्रांचें raʂʈrãtʃẽ
राष्ट्रांच्या raʂʈrãtʃja
राष्ट्रांत raʂʈrãt̪ə
राष्ट्रांतलीं raʂʈrãt̪əlĩ
राष्ट्रांतल्या raʂʈrãt̪əlja
राष्ट्रांनी raʂʈrãni
राष्ट्रांराष्ट्रांमदीं raʂʈrãraʂʈrãməd̪ĩ
राष्ट्राक raʂʈrakə
राष्ट्राची raʂʈratʃi
राष्ट्राचे raʂʈratʃe
राष्ट्राचो raʂʈratʃo
राष्ट्राच्या raʂʈratʃja
राष्ट्राध्यक्ष raʂʈrad̪ʰjəkʂə
राष्ट्राध्यक्षां raʂʈrad̪ʰjəkʂã
राष्ट्राध्यक्षांक raʂʈrad̪ʰjəkʂãkə
राष्ट्राध्यक्षांचो raʂʈrad̪ʰjəkʂãtʃo
राष्ट्राध्यक्षाक raʂʈrad̪ʰjəkʂakə
राष्ट्रान raʂʈranə
राष्ट्रानी raʂʈrani
राष्ट्रावादी raʂʈraʋad̪i
राष्ट्रीय raʂʈrijə
राष्ट्रीयकरण raʂʈrijəkərəɳə
राष्रादिक raʂrad̪ikə
रास rasə
रासभर rasəbʱərə
रासवळ rasəʋəɭə
रास्त rast̪ə
रास्ता rast̪a
राहुल raɦulə
राहुलाक raɦulakə
राहुलाचे raɦulatʃe
राहुलाच्या raɦulatʃja
राहूल raɦulə
रि ri
रिंगटोन्स rĩgəʈonsə
रिंगणांत rĩgəɳãt̪ə
रिंबाई rĩbai:
रिअलिटी riəliʈi
रिअॅक्टिव्ह riɛkʈiʋɦə
रिअॅलिटी riɛliʈi
रिकामी rikami
रिकामे rikame
रिकामो rikamo
रिकी riki
रिक्शा rikʃa
रिक्षा rikʂa
रिगचें rigətʃẽ
रिगता rigət̪a
रिगतात rigət̪at̪ə
रिगन rigənə
रिगना rigəna
रिगनान rigənanə
रिगपाक rigəpakə
रिगपी rigəpi
रिगयतले rigəjət̪əle
रिगयली rigəjəli
रिगला rigəla
रिगलां rigəlã
रिगली rigəli
रिगलीं rigəlĩ
रिगलें rigəlẽ
रिगल्या rigəlja
रिगिल्ली rigilli
रिगिल्ले rigille
रिगिल्लें rigillẽ
रिगिल्लो rigillo
रिगिल्ल्यान rigilljanə
रिगून rigunə
रिगोवंक rigoʋə̃kə
रिगोवचें rigoʋətʃẽ
रिगोवन rigoʋənə
रिचर्ड ritʃərɖə
रिचर्ड्साची ritʃərɖsatʃi
रिचार्ड ritʃarɖə
रिजयतलो ridʒəjət̪əlo
रिझर्व ridʒʱərʋə
रिझर्वाचे ridʒʱərʋatʃe
रिटा riʈa
रिटाक riʈakə
रिटाच्या riʈatʃja
रिटाझ riʈadʒʱə
रिटान riʈanə
रिटायर riʈajərə
रिट्रींडींगाचो riʈrĩɖĩgatʃo
रिडली riɖəli
रिडिंग riɖĩgə
रिण riɳə
रिणमाफी riɳəmafi
रिणां riɳã
रिणांचें riɳãtʃẽ
रिणांत riɳãt̪ə
रिणाची riɳatʃi
रिणाचें riɳatʃẽ
रिती rit̪i
रितीची rit̪itʃi
रितीच्यो rit̪itʃjo
रितीन rit̪inə
रितीपरंपरा rit̪ipərə̃pəra
रितीरिवाजा rit̪iriʋadʒa
रिते rit̪e
रितें rit̪ẽ
रितेंरेतं rit̪ẽret̪ə̃
रितेन्दर rit̪end̪ərə
रितो rit̪o
रित्या rit̪ja
रित्यो rit̪jo
रिदम rid̪əmə
रिपब्लिक ripəblikə
रिपब्लिकन ripəblikənə
रिपब्लिकनांची ripəblikənãtʃi
रिफर rifərə
रिबिनी ribini
रिबेरो ribero
रिबेलो ribelo
रिमान rimanə
रिमिक्स rimiksə
रिमोट rimoʈə
रियलिटी rijəliʈi
रियांतल्या rijãt̪əlja
रियाझ rijadʒʱə
रियालिटी rijaliʈi
रिलशन्स riləʃənsə
रिलायन्स rilajənsə
रिलिजन rilidʒənə
रिवणाक riʋəɳakə
रिवाज riʋadʒə
रिवाजा riʋadʒa
रिवायज riʋajədʒə
रिवोल्टा riʋolʈa
रिव्ब riʋbə
रिसर्च risərtʃə
रिसर्चान risərtʃanə
रिसिपींची risipĩtʃi
रिसेप्शनाक risepʃənakə
रिस्क riskə
रिहर्सल riɦərsələ
रिहर्सलरंगमाचयेचेर riɦərsələrə̃gəmatʃəjetʃerə
रिहर्सलीच्या riɦərsəlitʃja
रिहर्सल्स riɦərsəlsə
रींग rĩgə
रीग rigə
रीटा riʈa
रीण riɳə
रीणमाफी riɳəmafi
रीत rit̪ə
रीतसर rit̪əsərə
रीमा rima
रीमाक rimakə
रीमाची rimatʃi
रीमाचो rimatʃo
रीमान rimanə
रीव्ह riʋɦə
रीसर्च risərtʃə
रु ru
रुंद rũd̪ə
रुंदायल्यार rũd̪ajəljarə
रुक्माबायच्या rukmabajətʃja
रुक्मिणीच्या rukmiɳitʃja
रुक्मिणीन rukmiɳinə
रुक्ष rukʂə
रुख rukʰə
रुखा rukʰa
रुखांक rukʰãkə
रुखांचीं rukʰãtʃĩ
रुखाक rukʰakə
रुखाचे rukʰatʃe
रुखाचेर rukʰatʃerə
रुखाचो rukʰatʃo
रुखार rukʰarə
रुखावळींनी rukʰaʋəɭĩni
रुखावळीची rukʰaʋəɭitʃi
रुग्णवाहिकेंतल्यान rugɳəʋaɦikẽt̪əljanə
रुग्णालयांनी rugɳaləjãni
रुचीक rutʃikə
रुचीन rutʃinə
रुचूच rutʃutʃə
रुजची rudʒətʃi
रुजतली rudʒət̪əli
रुजता rudʒət̪a
रुजपा rudʒəpa
रुजयली rudʒəjəli
रुजल्या rudʒəlja
रुजल्यार rudʒəljarə
रुजवण rudʒəʋəɳə
रुजवात rudʒəʋat̪ə
रुजोवन rudʒoʋənə
रुजोवपाक rudʒoʋəpakə
रुजोवपी rudʒoʋəpi
रुढी ruɖʰi
रुढींचो ruɖʰĩtʃo
रुढीगत ruɖʰigət̪ə
रुद्रप्रयाग rud̪rəprəjagə
रुद्राक rud̪rakə
